Event Name,Time,trackId,trackArtistName,trackAlbumTitle,trackID,playlistId,trackMainGenre,Time Processed (UTC)
Track Played,1728037175,210741668,Butcher Brown,Solar Music,,,Jazz,1728037177477
Track Played,1728037168,284128280,Post Malone,F-1 Trillion,,,Country,1728037184079
Track Played,1728037167,99162972,The Killers,Hot Fuss,,,Rock,1728037169225
Track Played,1728037165,151352069,The Black Eyed Peas,Elephunk,,,R&B,1728037184079
Track Played,1728037165,781290,Tears For Fears,The Hurting,,,Pop,1728037170112
Track Played,1728037155,259259255,David Guetta,I Don't Wanna Wait,,3615138,Dance,1728037166714
Track Played,1728037154,64859846,TOOL,Ænima,,,Rock,1728037157452
Track Played,1728037152,14790215,Lamb of God,Music from the film As the Palaces Burn,,,Bandes originales de films,1728037168235
Track Played,1728037148,48351888,Cesária Evora,Miss Perfumado,,,World music,1728037165222
Track Played,1728037147,252300545,Justice,Hyperdrama,,,Électronique,1728037156166
Track Played,1728037144,208401139,Tessa Souter,Night of Key Largo,,,Jazz vocal,1728037147512
Track Played,1728037143,263560015,The Allergies,One Time,,,Hip-Hop/Rap,1728037151212
Track Played,1728037141,30369411,The Beatles,The Beatles (Remastered),,,Rock,1728037143532
Track Played,1728037141,781289,Tears For Fears,The Hurting,,,Pop,1728037170113
Track Played,1728037140,56934368,Alice Coltrane,Journey in Satchidananda,,,Jazz,1728037158297
Track Played,1728037139,47683839,Pink Floyd,The Wall (Remastered 2011 Version),,,Rock,1728037185775
Track Played,1728037139,97742984,Ellie Goulding,Brightest Blue,,,Pop,1728037151316
Track Played,1728037139,199903465,Fausto Mesolella,Suonerò fino a farti fiorire,,23580169,World music,1728037172656
Track Played,1728037139,215108914,Wassu,Nocturnal 010,,,Dance,1728037154010
Track Played,1728037138,282559561,The Smile,Cutouts,,,Alternative & Indie,1728037168183
Track Played,1728037137,34043632,Jacintha,Here's to Ben (A Vocal Tribute to Ben Webster),,23580169,Jazz,1728037172655
Track Played,1728037136,64405608,Lana Del Rey,Norman Fucking Rockwell!,,21659793,Alternative & Indie,1728037137813
Track Played,1728037135,44622413,Kekra,Vréel 3,,,Hip-Hop/Rap,1728037143115
Track Played,1728037135,48351887,Cesária Evora,Miss Perfumado,,,World music,1728037165223
Track Played,1728037133,127039815,Coldplay,Music Of The Spheres,,,Musica alternativa e indie,1728037193596
Track Played,1728037133,267434223,Shenseea,Never Gets Late Here,,,Reggae,1728037139368
Track Played,1728037133,216729315,Kalandra,Kingdom Two Crowns: Norse Lands Soundtrack (Extended),,,Divers,1728037146173
Track Played,1728037132,271255316,Stephan Noel,To gossip,,24516915,Humour,1728037167368
Track Played,1728037132,257039872,Kevin Mc,A Última,,24406745,World music,1728037171601
Track Played,1728037132,99543871,Linkin Park,Hybrid Theory  (20th Anniversary Edition),,,Alternativa & Indie,1728037163598
Track Played,1728037131,47061935,The The,Dusk,,,Pop,1728037157676
Track Played,1728037131,272266430,Coldplay,Moon Music,,,Alternative & Indie,1728037179525
Track Played,1728037130,97934812,Maman Tania,Appelez-moi miracle,,11729925,World,1728037142441
Track Played,1728037130,255662486,Olga Scheps,Chopin Nocturnes,,,Klassik,1728037186575
Track Played,1728037129,70276751,Chantal Chamberland,This is Our Time,,23580169,Jazz,1728037172655
Track Played,1728037129,760650,Eberhard Weber,Pendulum,,,Jazz,1728037140714
Track Played,1728037128,286795293,Fervents,Plastic Snake Factory,,1613258,Rock,1728037157092
Track Played,1728037128,8641800,T. Rex,Electric Warrior,,,Rock,1728037189623
Track Played,1728037128,226839383,Archive,Call To Arms & Angels (Deluxe Edition),,,Alternatif et Indé,1728037166355
Track Played,1728037127,275606420,Bay Brass,Grace: The Music of Michael Tilson Thomas,,,Classical,1728037187717
Track Played,1728037127,246598621,Horskh,BODY,,24220760,Metal,1728037130244
Track Played,1728037126,290571226,Jimmy Reed,I’m Jimmy Reed (Remastered 2024),,,Blues,1728037170518
Track Played,1728037125,272831563,Stryper,When We Were Kings,,,Metal,1728037185843
Track Played,1728037125,9157985,The Animals,A's B's & EP's,,,Rock,1728037186103
Track Played,1728037125,271255317,Stephan Noel,To gossip,,24509684,Humour,1728037155754
Track Played,1728037125,86942156,In Flames,The Jester Race (Black Ash-Inheritance Version),,,Rock,1728037152133
Track Played,1728037125,255662488,Olga Scheps,Chopin Nocturnes,,,Klassik,1728037186575
Track Played,1728037124,15937686,Max Richter,"Recomposed By Max Richter: Vivaldi, The Four Seasons (2012)",,24387683,Klassiek,1728037143085
Track Played,1728037124,273793219,20syl,Sula Bassana,,,Jazz,1728037185306
Track Played,1728037123,764166,The Beastie Boys,Licensed To Ill,,,Hip-Hop/Rap,1728037185750
Track Played,1728037122,44878016,Steve Waring,La Baleine Bleue,,,Enfants,1728037181357
Track Played,1728037122,46176205,Grace Jones,Hôtel Costes,,,Electrónica,1728037182413
Track Played,1728037121,7722968,Jimi Hendrix,"People, Hell & Angels",,24759272,Pop,1728037183770
Track Played,1728037121,291118353,DaBaby,HOW TF IS THIS A MIXTAPE?,,,Hip-Hop/Rap,1728037182614
Track Played,1728037121,121923132,twenty one pilots,Scaled And Icy,,,Alternatif et Indé,1728037183817
Track Played,1728037121,246784313,Jennifer Lopez,This Is Me...Now,,,Pop,1728037127683
Track Played,1728037121,36708936,Sarah Buxton,I Need A Hero (Music Inspired by the Motion Picture Footloose),,,Country,1728037132097
Track Played,1728037121,280683084,Jack White,No Name,,,Rock,1728037144960
Track Played,1728037121,242565976,Sum 41,Heaven :x: Hell,,,Alternatif et Indé,1728037140956
Track Played,1728037121,40945,The Byrds,Dr. Byrds And Mr. Hyde,,,Pop/Rock,1728037181513
Track Played,1728037120,9140026,Daft Punk,Random Access Memories,,10850678,Electronic,1728037123653
Track Played,1728037120,188866231,Cory Hanson,Western Cum,,,Rock,1728037180866
Track Played,1728037119.869,33169349,Titãs,Jesus Não Tem Dentes No País Dos Banguelas,,,Rock,1728037120263
Track Played,1728037119,215706169,Wassu,Selected Remixes Vol. 7,,,Electronic,1728037153946
Track Played,1728037119,174578648,In Flames,Foregone,,,Metal,1728037128070
Track Played,1728037118,19640485,Frank Sinatra,In The Wee Small Hours,,,Jazz vocal,1728037179712
Track Played,1728037118,12226368,The Supermen Lovers,The Player,,1839503,House,1728037178224
Track Played,1728037118,3859234,Avril Lavigne,The Best Damn Thing (Expanded Edition),,,Pop/Rock,1728037122186
Track Played,1728037118,50668582,Michel Sardou,Les grands moments - Best Of,,,Chanson française,1728037147451
Track Played,1728037118,246042439,Nengo Flow,RealG4Life Vol. 4,,,World music,1728037164106
Track Played,1728037117,73043983,Steel Pulse,Handsworth Revolution (Deluxe Edition),,,Reggae,1728037177934
Track Played,1728037117,282559563,The Smile,Cutouts,,,Alternatif et Indé,1728037178432
Track Played,1728037117,278496595,Jimin,Who (Remixes),,24382512,K-Pop,1728037178396
Track Played,1728037117,82821430,Mandatory Possession,Mandatory Possession,,12942799,Rock,1728037177719
Track Played,1728037117,22109703,Raj Singh(Raj Ranjodh),London,,,Musique indienne,1728037123602
Track Played,1728037116,10862887,Gordan Nikolic,"Mozart, W.A.: Serenade No. 7, K. 250, Haffner",,,Klassiek,1728037149623
Track Played,1728037116,278496597,Jimin,Who (Remixes),,24383745,K-Pop,1728037177007
Track Played,1728037116,143372318,Jimi Hendrix,Electric Lady Studios: A Jimi Hendrix Vision,,,Rock,1728037176809
Track Played,1728037116,251753191,Poppy Ackroyd,Pause,,,Classical,1728037175957
Track Played,1728037115,77476168,The Smithereens,Greatest Hits... Revisited,,,Rock,1728037138691
Track Played,1728037115,3881940,Rainbow,Ritchie Blackmore's Rainbow,,21761410,Rock,1728037179092
Track Played,1728037115,95785754,Metallica,…And Justice for All (Remastered),,23738618,Metal,1728037118496
Track Played,1728037115,273677880,Ptite Soeur,KAYFABE CHIMERA,,20234312,Hip-Hop/Rap,1728037117829
Track Played,1728037114.025,273580800,James Blake,Bad Cameo,,,Alternatif et Indé,1728037114051
Track Played,1728037114,10473299,Curtis Mayfield,Back to the World,,,Soul,1728037127995
Track Played,1728037113,106972912,Soul Keita,Democracy (Orginal Mix),,,Électronique,1728037153269
Track Played,1728037113,68072027,Jean-Jacques Goldman,Chansons pour les pieds,,,Chanson française,1728037174031
Track Played,1728037113,283673249,Falling In Reverse,Popular Monster,,,Rock,1728037139512
Track Played,1728037113,283673248,Falling In Reverse,Popular Monster,,,Rock,1728037139512
Track Played,1728037113,258465310,Future,WE DON'T TRUST YOU,,,Hip-Hop/Rap,1728037174124
Track Played,1728037112,60774964,Equilibrium,Armageddon,,12644404,Rock,1728037118715
Track Played,1728037112,271169713,Ennio,Schlaraffenland,,,Pop,1728037172591
Track Played,1728037112,283673250,Falling In Reverse,Popular Monster,,,Rock,1728037139512
Track Played,1728037112,283673252,Falling In Reverse,Popular Monster,,,Rock,1728037139512
Track Played,1728037112,283673251,Falling In Reverse,Popular Monster,,,Rock,1728037139512
Track Played,1728037112,227075273,Arnie Roth,Distant Worlds VI: More Music from Final Fantasy,,,Classical,1728037172856
Track Played,1728037112,288138827,Lamond,Set It Off,,24457102,Hip-Hop/Rap,1728037173246
Track Played,1728037111,124911314,Al Marconi,Heartstrings,,,Classique,1728037167216
Track Played,1728037111,283673253,Falling In Reverse,Popular Monster,,,Rock,1728037139512
Track Played,1728037110.923,126064297,La Reine des chansons pour enfants et bébés,60 Comptines pour Enfants et Bébés,,,Enfants,1728037114507